text,true_label,pred_label,confidence,length,keyword,orig_label
she add that her office have work relentlessly with the present administration to translate policy into concrete action for the woman   child   the aged   orphan   the disabled   and other vulnerable member of the society   Hajiya Yuguda challenge Nigerians to believe in the immense capacity and capability of the woman folk in nation build in order to bring about the much need positive change the country be yearn for,1,1,0.99399287,72,disabled,3
the measure have keep the migrant live in limbo   the overwhelming majority have not be grant asylum and they lead a tenuous existence   often at the whim of the government,1,0,0.993487,32,migrant,4
she remember how hard be homeless hit she   she remember   too   how she would try and act as mad as possible to intimidate people and stop they from come close to her   she would turn as she walk and make loud noise so that people would leave she alone   how do she manage not to lose sight of her future while she be struggle for survival    I handle my situation of be homeless pretty easily    she say with a bit of distance    I have football to focus on   I want to represent my country and I be not go to let anything get in the way  ,1,0,0.99685967,108,homeless,3
  my daughter   who be a physiotherapist   who be now on the other side   realize how difficult it be be a disabled person   she wish to change the idea in people s mind when they look at a disabled person   their mind be fine   they may be disable   but they re normal people and they want to be treat that way  ,1,1,0.9905343,62,disabled,4
one petition signer   the Reverend Everett Shattuck   59   a Church of the Brethren minister from Mill Creek   Indiana   say open his home to refugee be part of the US tradition of welcome immigrant,1,0,0.8226111,36,refugee,2
nearly 15000 west african teenager leave their home every year to play football in Europe   few make good on their dream   some be lure by corrupt   agent    smuggle across the sear Sahara and discard in the street of Europe   resign to sell fake designer bag as undocumented immigrant   other be nab by academy and feed team affiliate with european club and often dump like bad stock,1,0,0.9956456,69,immigrant,3
Camfed would like to see this trend reverse   it would like to see more girl in school   Basic Education Statistics in Tanzania   BEST 2010   show that only 18 percent of girl have complete secondary school education   this be why Camfed support girl from poor family to obtain secondary education and its effort have see many go to university,1,0,0.99865997,62,poor-families,4
famously progressive San Francisco have among America s most ecofriendly public policy and have declare itself a sanctuary to immigrant it consider persecute by President Donald Trump s administration,1,0,0.99824774,32,migrant,3
  the bad thing be deal to we    he say    but at least we ll get closure   that s a blessing   in some way   but I think of those poor family who will not  ,1,1,0.9918305,36,poor-families,3
over the past five year   the company have donate approximately 60000 pound of fresh produce for weekly outreach program and via large holiday event and Veteran   s program that have impact ten of thousand of New Yorkers in need   through Easter Seals of New York   Bloom Fresh deliver fresh fruit and vegetable each week to the Bronx Child Development Center to not only provide more healthy nutrient to child during lunch   but also for the child to take home to their family,1,1,0.8573109,85,in-need,2
you know the type   she s excelling in her field while tutor underprivileged kid   run 5 k fundraiser and adopt the most hopeless rescue dog as pet   and she s not afraid to gloat about it,1,1,0.9813502,38,hopeless,3
she say since Bangladeshs main export to the USA be apparel   this industry employ 4 million worker   of which 90 percent be girl from poor family   their earning have empower they   their contribution now provide well nutritional food   allow sibling to go to school   and give they a respected voice at home   their empowerment be also help reduce poverty   control population growth and increase literacy,1,1,0.9858256,68,poor-families,3
from a spiritual perspective   fasting be a time for the believer to rely on God   to give thank and to think of other who be in need,1,1,0.99476296,29,in-need,4
for ten year a group of woman have be stitch love into thousand of knit blanket and garment to help keep poor family in Eastern Europe warm,1,1,0.9804703,29,poor-families,4
Stephanie envision a model whereby woman in need would be teach a skill such as handcraft   and be pay a fair trade wage for their effort   in turn   the woman who have experience hardship and marginalisation would grow to become selfsufficient   with the product then sell in Australia via an online store and a network of retailer   the profit would be reinveste in seven Women to continue the cycle of empowerment,1,0,0.92087764,75,in-need,3
in a statement   the UNHCR say it be   alarmed and concern   by Tuesday s incident and urge the   public and all those concern with refugee to continue extend protection and to show empathy for civilian flee persecution and violence  ,1,0,0.922653,41,refugee,3
Hollywood star Leo Di Caprio urge help for reunite immigrant child with their family,1,1,0.68521583,17,immigrant,2
the turkish Ambassador to Tanzania Ali Davutoglu have call on civil society group and Tanzanians in general to join hand in help orphan and vulnerable child   say such responsibility should not be leave for the government alone,1,1,0.85172075,42,vulnerable,4
  we believe in the ability of young woman to achieve great thing   both for themselves and for Tanzania    he add,1,1,0.9841855,22,women,3
this little girl with her whole life in front of she can not go to school   can not read   can not write   at age seven   she be guilty   of be one of the world s 60 million refugee in the year 2017   the government claim it have implement   15 year free education   but the reality do not match the word   for preschool child   where government policy have create a completely privatised sector   normal fee be hk2800 per month   completely out of reach for poor family,1,0,0.99442625,90,poor-families,4
the right and need of hundred of thousand of old and disabled people be be neglect and their difficulty leave to worsen under a hopeless system of social care   but while the King s Fund report say that old people be fare the bad from the poor state of social care   this ignore the plight of working age disabled people who be face the double whammy of harsh and inefficient   welfare reform    as well as severe cut in social care support,1,1,0.9756271,83,hopeless,3
News this month that Anglican Care spend 4 million buy a Christchurch site as a hub for vulnerable youth be a fine example of that communityminde approach   in year to come there may be an interesting contrast between a beautifully restore cathedral that be empty much of the time and a youth hub and revamp City Mission that be constantly busy,1,0,0.99765897,65,vulnerable,3
  some come from poor family and then you find swim in million and they lose focus   then they fizz out from football altogether    he say   make it clear that to have a Paul Pogbaesque success   one need to work that much hard and not get influence easily especially at this age and that too come from Africa,1,0,0.9978823,60,poor-families,4
yes   DMC you be very good at add number   I be sure the dead and homeless be really thankful that you have the number   but as a government department I do not see any action in prevent   educate   keep sos supply depot   or indeed any action   apart from the armed force provide aid and the common man,1,1,0.7380482,60,homeless,3
he say that only deserve people have the right to benefit from the Wall of Kindness who be in need of such thing and do not want to beg from other,1,1,0.9830676,33,in-need,4
in time   when the housing backlog for the low middle and lowincome family will have be significantly whittle down to manageable level   the government can start look at way and mean to bring these   less   Filipinos into the embrace of economic health   and away from that malady call homelessness,1,0,0.9286289,52,homeless,4
  in particular   the programme to support blind and disabled golf impress I both as an avid golfer and a passionate believer in the   power of sport    to bring people together and transform life for the well    say Mr Key,1,1,0.91770554,41,disabled,4
Chantelle Owens   Mrs Planet 2016   host the day and the lady have the chance to share their compassion for those in need,1,1,0.9938852,24,in-need,4
a highlight of the week will be a public lecture and panel discussion next Tuesday   September 20   at 500 pm at the UWI Library Multifunctional Room   by the inspire Marilyn Lacey   a religious Sister of Mercy   RSM    who have work with migrant and refugee worldwide and have receive multiple international honour for her compassionate outreach   her topic be    Mercy   God s unexpected Path to Justice  ,1,1,0.983556,68,refugee,4
we also know that they can benefit by receive counseling from someone who can help they understand that their feeling be normal and that their situation be not hopeless   someone who can help they put their situation in perspective and help they communicate with other who could provide support   someone knowledgeable about resource they can access   someone who can help they plan for their need and the need of their child by develop either a parenting plan or an adoption plan,1,0,0.99615794,83,hopeless,3
President Muhammadu Buhari be on a divine mission to rescue the Nigeria from the brink of collapse and hopelessness   Speaker of the House of Representatives   Rt   Hon Yakubu Dogara have say,1,0,0.9904536,34,hopeless,3
bud chef   like   Fred     Winston   and   Angela   in the kitchen be either homeless or recently rehouse   and desperately in need of a help hand to enable they to rebuild their shattered life,1,1,0.92143136,35,in-need,4
in a 90degree view of his constituency   one can see a high rise and a flyover while underneath it   homeless people sleep on pavement    as you can see   my constituency be not confine to one socioeconomic group    he say   add that apart from water   another major concern for he be to improve the standard of public school in the area,1,0,0.90373194,63,homeless,3
the school authority have take the perfect procedure   not to obstruct study   the 300 odd athlete who engage in sport be give the freedom to practice before and after school hour under the watchful eye of the teacher who be incharge of sport   the talented athlete who come from poor family be take care of adequately with contribution from parent and well wisher,1,1,0.679858,67,poor-families,3
the Word of God be truth that s live and able to penetrate human soul   Heb 412    consider how powerful scripture be   it can change heart   save life from eternal condemnation   and give hope to the hopeless,1,1,0.99523157,39,hopeless,3
  we need to grow the economy in a way that we be help those that be struggle   family that be go to difficult time   and those that be in vulnerable situation    he say,1,1,0.84919053,35,vulnerable,3
we have do a great deal of work but the big thing we have do be to make the ministry a powerful tool for the protection of woman   over the last four year   every time somebody come up with a good idea or propose an area in which woman need help   we have adopt it immediately   we have be do two thing   policymake   which also push other ministry   and look at individual case of suffer   for I   both component be equally important,1,0,0.98067516,85,women,3
PIC   James McClean deliver on his incredibly classy promise to young disabled girl h James McClean may be one of the most controversial figure in the Premier League but   when push come to shove   his heart be always in the right place for those in need,1,1,0.9140991,48,in-need,4
if in addition   miracle   can be orchestrate then the acceptance and reverence become total   in a country where statistic state that unemployment be about 25 per cent but we know it be more like 70 per cent   where the next meal will come from be unpredictable and on a daily basis time just pass by   it be not farfetche for woman to become prayer warrior for their child   husband and sibling and be make to blame whatever be happen not on policy of the government but on the machination of the devil,1,0,0.9436225,97,women,3
in a world of unlimited datum   there be little stop we from provide refugee with this lifesaving connectivity,1,1,0.9936587,20,refugee,4
the law stipulate 21 right of the disabled person   the disabled person must get the national identity card and be list in the voter roll   even they will be able to contest in the poll,1,0,0.99873143,37,disabled,3
  we shall remember he for the immense contribution he make to the many vulnerable sector of humanity   woman   child   orphan the disabled and refugee  ,1,1,0.99248827,26,vulnerable,3
for jobless   hopeless Zimbabweans there be nothing much to cheer,1,1,0.992732,12,hopeless,3
hundred of thousand Africans be graduate per year   different from 1980 and early 1990 when college outpour get immediately absorb in the labour market   many today be jobless and hopeless,1,0,0.99682474,33,hopeless,2
Old BC   as usual   Old GB have it assyversy   I think there should be more focus on prevent homelessness than cure it   be there system for actually go out   pick up the homeless   and place they where they belong   homeless people be not voluntarily walk into these shelter,1,1,0.98235255,53,homeless,4
while male prisoner in Pakistan also suffer   the female prisoner   plight be truly worry   like male offender   the majority of female offender be poor   however   woman enter the criminal justice system with a host of unique medical   psychological   and financial problem and need that distinguish they from male offender   addiction   poverty   unemployment   physical and mental illness   physical and sexual abuse   and homelessness trap woman in a cycle of hopelessness and crime   in particular   female offender be often young mother who face the additional trauma of threatened separation from their child,1,1,0.9953434,92,hopeless,3
Mr Slosar say    we have be deeply move by the plight of the people of Japan affect by the natural catastrophe   we hope that our contribution will help they to rebuild their life   Red Cross have be our partner in reach out to those in need in the community and we be pleased to work with they once again in this endeavour  ,1,1,0.97460157,65,in-need,3
fast bridge the gap between rich and poor   sustained and impoverished   fulfil and needy   this experience should then inspire compassion and mercy   which be manifest by generosity of wealth and time to help those in need,1,1,0.99426985,38,in-need,4
New Zealand have be get more comfortable confront difficult issue in primetime   last year   Nigel Latta   the Hard Stuff s exploration of suicide and teenager   online life be a hit   early this year another season of the Undateables   a british show about date amongst the disabled and those with learn disability play at 845pm Mondays on TVNZ 2   and despite the exploitative name   Embarassing Bodies have help open eye and mind to the reality of those whose physical form deviate from a societal conception of   normal  ,1,0,0.99098325,94,disabled,3
he say that he also stop in Maiduguri   Nigeria   where he meet with people who be torch out of their home 11 month ago    these be the story we carry with we    he underline    the World Humanitarian Summit   be a once in a generation opportunity to set in motion an ambitious and far reach agenda to change the way that we alleviate   and most importantly that we prevent   the suffering of the world s most vulnerable people  ,1,1,0.9930195,79,vulnerable,4
Maida note that political issue should not twist woman away from matter of development   the important thing be peace   and woman must wake up   since they need economic revolution through peaceful mean,1,0,0.9771493,35,women,3
Xi make the remark during a tour of the city of Zhangjiakou in northern China s Hebei Province   where he inspect an impoverished village   visit and chat with poor family   discuss how they could shake off poverty,1,1,0.99472284,41,poor-families,4
however   this success story be not uncommon   it often happen that people from poor family have more perseverance to fight tooth an nail in business than child of rich parent who be use to get everything they want with ease   People without a strong spirit will quickly break down and drop out from the competition,1,1,0.77309936,57,poor-families,3
Balu   an honest   hardworke labourer   who be injure by army shell about 1993 lead to partial deafness   have latterly resettle in Tellipalai   while wait to cross the KKS Rd   he be kill by a navy vehicle with   as I learn   defective brake   drive by a man without a heavy vehicle licence   when development fail the most vulnerable and poor   we have lose our way   it be well to remember Tagore in his essay on Nationalism     speed come to its end   the engagement lose its meaning and the hungry heart clamour for food   till at last she come to the lowly reaper reap his harvest in the sun  ,1,1,0.9941466,115,vulnerable,3
so when journalist and observer tell we that    Toronto will never be the same again    they be not only wrong   but be extremely unhelpful   of course Toronto will be just the same again   not for the poor family of the deceased   not for those struggle with ghastly and perhaps lifechange injury   but for most of the rest of we   it will not change   because it never do,1,0,0.9187575,70,poor-families,2
  we know Uber partner with an extensive network of driver   and plunket nurse support some of our most vulnerable family   work together   we can make it simple for people to help out and make a difference    Jarvie say,1,1,0.9880009,42,vulnerable,3
  Africa Rights Initiatives International have bring smile on the face of many   especially   crippled disabled who receive crutch   the poor sight who receive glass and medication   the poor who receive clothing   the 1225people who receive free health insurance coverage and the general public that receive free medical care and above all   the financial support for the Anti Snake Venom   ASV   to save the life of the poor woman in Kporibayiri   and referral of the poor boy who die on the way to the hospital   your Midwives also conduct great delivery during your visit   only God know what would have happen as the only Midwife for the Subdistrict be still on her annual leave   he say,1,1,0.9951997,125,disabled,4
the Minister say a society s measure of its humanity be how it treat its weak and most vulnerable member,1,0,0.8788019,22,vulnerable,3
  let we make this occasion more meaningful by offer aid to other   especially to those in need   let we pray for the welfare and safety of our countryman and for last peace in our nation so that we can all work together in harmony towards real change    he say,1,1,0.9905844,52,in-need,3
he say the victim who be currently render homeless can now be relieve of trouble as the 5000 iron sheet from Mwanza have arrive   with 1200 already distribute to victim in Bukoba Municipality,1,0,0.99633527,37,homeless,4
Kasun may not be a superhero or a super genius but he be a great human being who have overcome challenge and hardship of life without even have the full functional capability of his body   his courage and dedication may one day take he to high place in life but above all   for those who be feel useless and hopeless even though they have fully functional limb   Kasun s story be go to be a lesson,1,0,0.65856755,80,hopeless,4
call for an immediate political solution to resolve the crisis in Syria   Erdogan say    Turkey s incursion into northern Syria in early September have lead to establish peace   balance and stability in a region take over by hopelessness  ,1,0,0.9974245,40,hopeless,4
  I have a lot of sympathy for folk who be in need in the city    Mr EdmondsWaters say    this have become an extremely expensive city to live in   the divide between those who have and those who do not be ridiculously ginormous  ,1,0,0.99442166,46,in-need,4
bus driver Cathal Carroll ask if I ve hear the news this morning   I have not   four thousand soul have just be rescue from the water of the Mediterranean   he say   all of they african refugee   all flee hunger and persecution in their native land   what do I think about that,1,1,0.9912383,53,refugee,4
KOLKATA   Sourav Kaibartya   a fisherman s son who score 942 in his high secondary examination this year get entry into NIT Durgapur for engineering course   the boy be at a loss as to who will fund his education   that be when a corporate house come into his rescue   Thirtyseven student like he from West bengal meritorious but from poor family will now get to continue their study with an initiative from Magma Fincorp Ltd,1,0,0.996953,85,poor-families,4
as exemplify by the teenager   let we all be kind to one another and help those in need without discriminate against one another base on race or religion,1,1,0.8388647,30,in-need,4
  I expect more resource in the hand of people in need and the humanitarian worker on the frontline   who   be risk their life to help they   and I expect less to be spend in the back room in transaction that do not help we get help to the people    she say,1,1,0.58367306,53,in-need,3
the indigenous Palestinians see themselves abandon by the powerful nation of the UN   in sheer hopelessness and a sense of dehumization they be   regrettably   now resort to nihilistic activity try to harm israeli Jews and getting kill every day by the trigger happy Israelis   civilian and security force alike   it be a sad development in a region that have cry for justice for too long   almost 70 year   only to be ignore and severely punish for their noncompliance to the zionist dream of Eretz Israel,1,0,0.9797737,92,hopeless,4
McAfee say he be help the local by feed poor family and provide they with job,1,1,0.650029,18,poor-families,3
real poverty of Britain   shocking image of UK in the Sixties where poor really mean poor h these hardhitting photograph offer a glimpse into the harrowing daytoday for poor family live in Britain during the Sixties,1,1,0.9946355,40,poor-families,3
IdeaRaya spokesman Maryam Ramli Lee in an interview with Malay Mail Online   September 10   2015   for human right   Idearaya be shine a spotlight on marginalised community such as refugee and migrant worker   while its focus for philosophy this year would be on educate child to express themselves philosophically,1,0,0.9838615,54,refugee,3
the Eastridge Christian School in Bramley gather at their local park to hand over muchneede food parcel to the homeless on 7 March,1,1,0.9915165,28,homeless,3
  Mike s leadership have make NSW the economic and infrastructure powerhouse of the nation   his compassion have also ensure a well quality of life for those most vulnerable,1,1,0.9938788,30,vulnerable,4
our country be in need of serious change   we can continue to celebrate woman s day   throw massive budget at event   give out goody bag with a cute lipstick and celebrate female achiever once a year   this be without take away from exceptional woman who truly be make inroad into their environment but we be not just a cute lipstick   or pair of shoe   we be not just pretty and soft and squishy   we be not just child bearer   and there for procreation   so   why be we as woman   so accept of the placating and mollification throw at we and overlook the inequality through acceptance   I be by no mean militant   but often   as even in politic   focus be shift on true issue by draw public attention to other   thing   in order for we to be distract   by shift our focus from relevant issue we forget why we be disgruntle and angry and nothing ever change,1,0,0.9969988,165,women,4
the World Health Organization do not give a reason for the increase in death   but a provincial health official in Sindh say that the disease hit area where poor family do not vaccinate their child,1,0,0.9990558,37,poor-families,2
Canada have manage to accept immigrant   yet it keep its citizen happy at the same time   in fact   the only populist revolution be proimmigrant   it can all be manage   in a humane way   feel the pain of those who have leave their home in search of peace or prosperity,1,1,0.97940457,52,immigrant,4
it be miserable be poor and homeless in an affluent nation where one s worth be measure by what one can afford to buy   even those in the middle class with good and steady job struggle to keep their lifestyle,1,1,0.9259814,42,homeless,3
some year later the daughter s marriage break up   she have two child by then and need money urgently   the father dip into his saving and be eventually compel to move into this home   his daughter have put in the paper for he to join she in Australia and he be hopeful of join she soon   that day for he will be a joyful escape from the surround air of defeat   dejection and hopelessness,1,1,0.8596632,78,hopeless,4
this year alone the BSI have be able to share with the kid of Rescue Dada Centre   a home that rescue girl from the street and give they an opportunity to better themselves in life   they also get to visit kid from Kijiji in Langata who be leave homeless after a fire consume their home,1,1,0.7361762,58,homeless,3
Kenyans be know to have big heart   heart so big that they give generously when it come those in need   despite all our difference   we unite to help the sick   fight for justice or feed those in drought or warstricken area,1,1,0.9948382,44,in-need,4
  these poor lady be definitely go through some traumatic issue right now   and I be ask that they come forward so that I help they   together with woman parliamentarian   to be able to heal,1,1,0.9838346,36,women,4
icccad remain a strong advocate of local initiative and support the concept of Community Based Adaptation   CBA    Solutions develop at the local level have the good chance of be successful since it be the poor living in area prone to storm   flood   and drought who be most vulnerable and well understand what need to be do   this approach seek to give these community a voice since it be powerlessness as much as location that make these community vulnerable to climate change,1,0,0.985615,85,vulnerable,3
after the satisfying evening   Manny Osme   a left we ponder on his quote    money be pressure until it be use to help people in need  ,1,1,0.93102336,29,in-need,3
to meet the need   villager from Gairo district in Morogoro region have a reason to smile after the Campaign for Female Education   camfe   Tanzania have introduce a new programme to support vulnerable girl and boy from poor family to access good education from primary to tertiary level that will help they to break the poverty cycle for themselves and their community,1,1,0.98626584,66,poor-families,4
watch poor family in England writhe in pain over this deep wound   we   as resident of this former slave plantation island   can commiserate with their distress,1,1,0.99399453,28,poor-families,4
instead of restaurant and mall   they go into the nook and cranny of the capital   approach every homeless person they meet to offer they a new lease on life,1,1,0.99635494,31,homeless,4
he say their effort should not stop only at create many graduate but also extend to student from poor family so that they could break away from the cycle of poverty,1,1,0.74943066,33,poor-families,3
